Jacob Aagaard;DK
Manuel Aaron;IN
István Abonyi;HU
Gerald Abrahams;GB
Tatev Abrahamyan;AM
Leonardas Abramavičius;LT
Jude Acers;US
Peter Acs;HU
Michael Adams;GB
Weaver Adams;US
Utut Adianto;ID
András Adorján;HU
Yochanan Afek;IL
Vladimir Afromeev;RU
Simen Agdestein;NO
Evgeny Agrest;BY
Georgy Agzamov;UZ
Carl Ahues;DE
James Macrae Aitken;GB
Ralf Åkesson;SE
Anna Akhsharumova;RU
Varuzhan Akobian;AM
Vladimir Akopian;AM
Mohamad AlModiahki;QA
Simon Alapin;LT
Vladimir Alatortsev;RU
Adolf Albin;RO
Lev Alburt;RU
Alexander Alekhine;RU
Alexei Alekhine;RU
Grace Alekhine;US
Aleksej Aleksandrov;BY
Evgeny Alekseev;RU
Hugh Alexander;GB
Aaron Alexandre;DE
Nana Alexandria;GE
Johann Baptist Allgaier;DE
Zoltán Almási;HU
Izak Aloni;PL
Yoel Aloni;IL
Boris Alterman;IL
Friedrich Amelung;EE
Bassem Amin;EG
Farrukh Amonatov;TJ
Bruce Amos;CA
An Yangfeng;CN
Viswanathan Anand;IN
Erik Andersen;DK
Frank Anderson;CA
Adolf Anderssen;DE
Ulf Andersson;SE
Dmitry Andreikin;RU
Zaven Andriasian;AM
Dejan Antic;RS
Rogelio Antonio Jr.;PH
Vladimir Antoshin;RU
Oskar Antze;DE
Manuel Apicella;FR
Izaak Appel;PL
Fricis Apšenieks;LV
Lev Aptekar;UA
José Joaquin Araiza;MX
Ketevan ArakhamiaGrant;GE
Walter Arencibia;CU
Alexander Areshchenko;UA
Keith Arkell;GB
Romanas Arlauskas;LT
Jon Arnason;IS
Dagur Arngrímsson;IS
Levon Aronian;AM
Lev Aronin;RU
Andreas Ascharin;EE
Jacob Ascher;GB
Konstantin Aseev;RU
Maurice Ashley;JM
Karen Asrian;AM
Ekaterina Atalik;RU
Suat Atalık;TR
Henry Atkins;GB
Arnold Aurbach;PL
Yuri Averbakh;RU
Valeriy Aveskulov;UA
Herbert Avram;US
Boris Avrukh;IL
Zurab Azmaiparashvili;GE
Alexander Baburin;RU
Étienne Bacrot;FR
Paul Baender;DE
Giorgi Bagaturov;GE
Amir Bagheri;IR
Camilla Baginskaite;RU
Vladimir Bagirov;RU
Mary Bain;US
David Graham Baird;US
Vladimir Baklan;UA
Yuri Balashov;RU
Zoltán von Balla;HU
Csaba Balogh;HU
János Balogh;RO
Julio Balparda;UY
Amikam Balshan;IL
Hristos Banikas;GR
Anatoly Bannik;UA
David Baramidze;GE
Zsigmond Barász;HU
Abraham Baratz;RO
Gerardo Barbero;AR
Gedeon Barcza;HU
Olaf Barda;NO
Curt von Bardeleben;DE
Leonard Barden;GB
Evgeny Bareev;RU
Robert Henry Barnes;GB
Thomas Wilson Barnes;GB
Alexei Barsov;UZ
Mateusz Bartel;PL
Dibyendu Barua;IN
Cerdas Barus;ID
Michael Basman;GB
Christian Bauer;FR
Johann Hermann Bauer;CZ
Friedrich Baumbach;DE
Albert Becker;AT
Anjelina Belakovskaia;UA
Liudmila Belavenets;RU
Sergey Belavenets;RU
Alexander Beliavsky;UA
Slim Belkhodja;TN
Jana Bellin;CZ
Zdzisław Belsitzmann;PL
Levi Benima;NL
Clarice Benini;IT
Joel Benjamin;US
Francisco Benkö;DE
Pal Benko;FR
David Berczes;HU
Emanuel Berg;SE
Bela Berger;HU
Johann Berger;AT
Victor Berger;UA
