Adrian Gray;GB
Adrian Lewis;GB
Aileen de Graaf;NL
Akihiro Nagakawa;JP
Alan Bolton;NZ
Alan Caves;GB
Alan Evans;GB
Alan Glazier;GB
Alan Grant;AU
Alan Norris;GB
Alan Tabern;GB
Alan Warriner-Little;GB
Albert Anstey;CA
Albertino Essers;NL
Alex MacKinnon;CA
Alex Roy;GB
Alistair Forrester;GB
Allan Hogg;CA
Anastasia Dobromyslova;RU
André Brantjes;NL
Andree Welge;DE
Andrew Davies;GB
Andy Boulton;GB
Andy Fordham;GB
Andy Green;US
Andy Hamilton;GB
Andy Jenkins;GB
Andy Smith;GB
Angus Ross;GB
Anne Kirk;GB
Anthony Fleet;AU
Anthony Forde;BB
Anton Pein;AT
Antonio Alcinas;ES
Aodhagan O'Neill;IE
Arjan Moen;NL
Arron Monk;GB
Arto Lintunen;FI
Arūnas Čiplys;LT
Ashfaque Sayed;IN
Barrie Bates;GB
Barry Atkinson;AU
Barry Jouannet;AU
Benito van de Pas;NL
Bernd Roith;DE
Bernie Smith;NZ
Bert Vlaardingerbroek;NL
Bill Davis;US
Bill Lennard;GB
Bill Steinke;CA
Bob Anderson;GB
Bob Sinnaeve;CA
Bob Taylor;GB
Bobby George;GB
Brendan Dolan;GB
Brian Cairns;GB
Brian Cyr;CA
Brian Sorensen;DK
Brian Woods;GB
Bruno Raes;BE
Bryan de Hoog;NL
Carla Molema;NL
Carlos Rodríguez;ES
Ceri Morgan;GB
Charles Losper;ZA
Charlie Ellix;GB
Choon Peng Lee;MY
Chris Johns;GB
Chris Loudon;GB
Chris Mason;GB
Christian Kist;NL
Christian Perez;PH
Cliff Inglis;GB
Cliff Lazarenko;GB
Clive Barden;GB
Co Stompé;NL
Colin Lloyd;GB
Colin McGarry;GB
Colin Monk;GB
Colin Osborne;GB
Conrad Daniels;US
Dan Valletto;US
Daniel Larsson;SE
Danny Inglis;GB
Darin Young;US
Darren Webster;GB
Darryl Fitton;GB
Daryl Gurney;GB
Dave Askew;GB
Dave Chisnall;GB
Dave Ladley;GB
Dave Lee;GB
Dave Prins;GB
Dave Routledge;GB
Dave Whitcombe;GB
David DePriest;US
David Fatum;US
David Jones;GB
David Miller;US
