Klaus Augenthaler;DE
Michael Ballack;DE
Frank Baumann;DE
Franz Beckenbauer;DE
Uwe Bein;DE
Thomas Berthold;DE
Oliver Bierhoff;DE
Fredi Bobic;DE
Andreas Brehme;DE
Paul Breitner;DE
Hans-Peter Briegel;DE
Guido Buchwald;DE
Edmund Conen;DE
Sebastian Deisler;DE
Bernard Dietz;DE
Horst Eckel;DE
Karl-Heinz Förster;DE
Paul Freier;DE
Arne Friedrich;DE
Torsten Frings;DE
Lothar Emmerich;DE
Fabian Ernst;DE
Rudolf Gellesch;DE
Ludwig Goldbrunner;DE
Dietmar Hamann;DE
Thomas Häßler;DE
Siegfried Held;DE
Thomas Helmer;DE
Jupp Heynckes;DE
Dieter Hoeneß;DE
Uli Hoeneß;DE
Bernd Hölzenbein;DE
Horst Hrubesch;DE
Bodo Illgner;DE
Paul Janes;DE
Hans Jakob;DE
Jens Jeremies;DE
Oliver Kahn;DE
Manfred Kaltz;DE
Sebastian Kehl;DE
Albin Kitzinger;DE
Jürgen Klinsmann;DE
Jürgen Kohler;DE
Andreas Köpke;DE
Karl-Heinz Körbel;DE
Willibald Kress;DE
Stefan Kuntz;DE
Andreas Kupfer;DE
Kevin Kuranyi;DE
Philipp Lahm;DE
Jens Lehmann;DE
Ernst Lehner;DE
Stan Libuda;DE
Werner Liebrich;DE
Pierre Littbarski;DE
Felix Magath;DE
Karl Mai;DE
Sepp Maier;DE
Lothar Matthäus;DE
Martin Max;DE
Thomas Meggle;DE
Andreas Möller;DE
Max Morlock;DE
Gerd Müller;DE
Reinhold Münzenberg;DE
Günter Netzer;DE
Oliver Neuville;DE
Jens Nowotny;DE
Wolfgang Overath;DE
Nico Patschinski;DE
Jupp Posipal;DE
Christian Rahn;DE
Helmut Rahn;DE
Carsten Ramelow;DE
Willi Reimann;DE
Stefan Reuter;DE
Karl-Heinz Riedle;DE
Karl-Heinz Rummenigge;DE
Bernd Schuster;DE
Otto Siffling;DE
Hans Schäfer;DE
Björn Schlicke;DE
Edgar Schmitt;DE
Bernd Schneider;DE
Karl-Heinz Schnellinger;DE
Mehmet Scholl;DE
Helmut Schön;DE
Harald Schumacher;DE
