Georgia Bonora;AU
Ashleigh Brennan;AU
Daria Joura;AU
Emily Little;AU
Lauren Mitchell;AU
Monette Russo;AU
Lisa Skinner;AU
Allana Slater;AU
Yulia Inshina;AZ
Anna Pavlova;AZ
Svetlana Boguinskaya;BY
Nellie Kim;BY
Olga Korbut;BY
Ellie Black;CA
Elyse Hopfner-Hibbs;CA
Victoria Moors;CA
Kate Richardson;CA
Elfi Schlegel;CA
Eva Bosáková;CZ
Jana Komrsková;CZ
Cheng Fei;CN
Deng Linlin;CN
Fan Ye;CN
He Kexin;CN
He Ning;CN
Kui Yuanyuan;CN
Li Li;CN
Li Shanshan;CN
Li Ya;CN
Liu Xuan;CN
Lu Li;CN
Jiang Yuyuan;CN
Ma Yanhong;CN
Mo Huilan;CN
Sang Lan;CN
Sui Lu;CN
Xiao Sha;CN
Yang Yilin;CN
Yao Jinnan;CN
Zhang Nan;CN
Zhou Zhuoru;CN
Yamilet Peña;DO
Ludivine Furnon;FR
Émilie Le Pennec;FR
Elvire Teza;FR
Daria Bijak;DE
Anja Brinker;DE
Karin Büttner-Janz;DE
Oksana Chusovitina;DE
Maxi Gnauck;DE
Dagmar Kersten;DE
Steffi Kraker;DE
Erika Zuchold;DE
Ana Sofía Gómez;GT
Ágnes Keleti;HU
Margit Korondi;HU
Henrietta Ónodi;HU
Carlotta Ferlito;IT
Vanessa Ferrari;IT
Elsa García;MX
Denisse López;MX
Brenda Magaña;MX
Laura del Carmen Moreno;MX
Céline van Gerner;NL
Kim Gwang-Suk;KP
Hong Su Jong;KP
Hong Un Jong;KP
Helena Rakoczy;PL
Marta Pihan-Kulesza;PL
Lavinia Agache;RO
Simona Amânar;RO
Oana Ban;RO
Diana Bulimar;RO
Diana Chelaru;RO
Laura Cutina;RO
Aurelia Dobre;RO
Emilia Eberle;RO
Alexandra Eremia;RO
Gina Gogean;RO
Larisa Iordache;RO
Steliana Nistor;RO
Maria Olaru;RO
Celestina Popa;RO
Ana Porgras;RO
;
Daniela Sofronie;RO
Silvia Stroescu;RO
Ecaterina Szabo;RO
Corina Ungureanu;RO
Teodora Ungureanu;RO
Camelia Voinea;RO
Ksenia Afanasyeva;RU
Elena Dolgopolova;RU
Anna Dementyeva;RU
Ludmila Ezhova;RU
Rozalia Galiyeva;RU
Anastasia Grishina;RU
Svetlana Khorkina;RU
Anastasiya Kolesnikova;RU
Viktoria Komova;RU
Dina Kochetkova;RU
Ekaterina Kramarenko;RU
Natalia Kuchinskaya;RU
Yekaterina Lobaznyuk;RU
Yulia Lozhechko;RU
Sofia Muratova;RU
Aliya Mustafina;RU
Tatiana Nabieva;RU
Maria Paseka;RU
Anna Pavlova;RU
Yelena Produnova;RU
Ksenia Semenova;RU
Natalia Shaposhnikova;RU
Elena Zamolodchikova;RU
Jo Hyun-Joo;KR
Elena Gómez;ES
Patricia Moreno;ES
Ana Maria Izurieta;ES
Polina Astakhova;UA
Nina Bocharova;UA
Olesya Dudnik;UA
Maria Gorokhovskaya;UA
Tatiana Gutsu;UA
Viktoria Karpenko;UA
Larisa Latynina;UA
Lilia Podkopayeva;UA
Oksana Omelianchik;UA
Ludmilla Tourischeva;UA
Irina Yarotska;UA
Stella Zakharova;UA
Sophie Brundish;GB
Imogen Cairns;GB
Becky Downie;GB
Marissa King;GB
Lisa Mason;GB
Annika Reeder;GB
Joanna Sime;GB
Beth Tweddle;GB
Hannah Whelan;GB
Mohini Bhardwaj;US
Rebecca Bross;US
Amy Chow;US
Dominique Dawes;US
Gabby Douglas;US
Annia Hatch;US
Katie Heenan;US
Terin Humphrey;US
Shawn Johnson;US
Bailie Key;US
Courtney Kupets;US
Mattie Larson;US
Nastia Liukin;US
Kristen Maloney;US
McKayla Maroney;US
Chellsie Memmel;US
Ashley Miles;US
Shannon Miller;US
Phoebe Mills;US
Dominique Moceanu;US
Carly Patterson;US
Aly Raisman;US
Mary Lou Retton;US
Kyla Ross;US
Alicia Sacramone;US
Bridget Sloan;US
Kerri Strug;US
Kristal Uzelac;US
Jordyn Wieber;US
Kim Zmeskal;US
Polina Astakhova[note 14];RU
Olga Bicherova;RU
Nina Bocharova[note 16];RU
Svetlana Boginskaya[note 1];RU
Oksana Chusovitina[note 5];RU
Olesya Dudnik[note 18];RU
Maria Filatova;RU
Rozalia Galiyeva[note 8];RU
Maria Gorokhovskaya[note 20];RU
Svetlana Grozdova;RU
Tatiana Gutsu[note 21];RU
Natalia Ilienko;RU
Nellie Kim[note 2];RU
Natalia Kuchinskaya[note 9];RU
Larisa Latynina[note 22];RU
Tamara Lazakovich;RU
Tatiana Lysenko;RU
Tamara Manina;RU
Olga Mostepanova;RU
Elena Mukhina;RU
Sofia Muratova[note 11];RU
Oksana Omelianchik[note 23];RU
Galina Shamrai;RU
Natalia Shaposhnikova[note 12];RU
Yelena Shushunova;RU
Ludmilla Tourischeva[note 25];RU
Zinaida Voronina;RU
Natalia Yurchenko;RU
Stella Zakharova[note 26];RU
Oksana Chusovitina[note 5];UZ
Rozalia Galiyeva[note 8];UZ
Albert Azaryan[note 28];AM
Artur Davtyan;AM
Philippe Rizzo;AU
Joshua Jefferis;AU
Damian Istria;AU
Ivan Ivankov;BY
Vitaly Scherbo;BY
Diego Hypólito;BR
Arthur Zanetti;BR
Yordan Yovchev;BG
Kyle Shewfelt;CA
Chen Yibing;CN
Li Ning;CN
Li Xiaopeng;CN
Lou Yun;CN
Xiao Qin;CN
Yang Wei;CN
Zou Kai;CN
Mahmoud Safwat;EG
Louis Ségura;FR
Marco Torrès;FR
Paavo Aaltonen;FI
Veikko Huhtanen;FI
Heikki Savolainen;FI
Valery Belenky[note 34];DE
Philipp Boy;DE
Roland Brückner[note 35];DE
Konrad Frey[note 36];DE
Eberhard Gienger;DE
Fabian Hambüchen;DE
Sylvio Kroll[note 37];DE
Marcel Nguyen;DE
Sven Tippelt[note 38];DE
Andreas Wecker;DE
Vlasios Maras;GR
Szilveszter Csollány;HU
Zoltán Supola;HU
