Patrick Makau;KE
Gezahegne Abera;ET
Abel Antón;ES
Stefano Baldini;IT
Dick Beardsley;US
Abebe Bikila;ET
Gelindo Bordin;IT
Amby Burfoot;US
Dionicio Cerón;MX
Robert Kipkoech Cheruiyot;KE
Robert Kiprono Cheruiyot;KE
Waldemar Cierpinski;DE
Andrea Cionna;IT
Derek Clayton;AU
Robert de Castella;AU
Belayneh Densamo;ET
Leonard Edelen;US
Stefaan Engels;BE
Martín Fiz;ES
Haile Gebrselassie;ET
Jaouad Gharib;MA
Rodolfo Gómez;MX
Ryan Hall;US
Hal Higdon;US
Ron Hill;GB
Hwang Young-Cho;KR
Juma Ikangaa;TZ
Steve Jones;GB
Veikko Karvonen;FI
Yuki Kawauchi;JP
Tsegaye Kebede;ET
Meb Keflezighi;US
Khalid Khannouchi;MA
Stephen Kiprotich;UG
Wilson Kipsang Kiprotich;KE
Abel Kirui;KE
Hannes Kolehmainen;FI
Lee Bong-Ju;KR
Martin Lel;KE
Vanderlei de Lima;BR
Tom Longboat;CA
Carlos Lopes;PT
Frederick Lorz;US
Spyridon Louis;GR
Deriba Merga;ET
Greg Meyer;US
Franjo Mihali;HR
Alain Mimoun;FR
Steve Moneghetti;AU
Koichi Morishita;JP
Emmanuel Kipchirchir Mutai;KE
Takeyuki Nakayama;JP
Gerard Nijboer;NL
Tsuyoshi Ogata;JP
Benjamín Paredes;MX
Jim Peters;GB
António Pinto;PT
Orlando Pizzolato;IT
Hendrick Ramaala;ZA
Julio Rey;ES
Bill Rodgers;US
Alberto Salazar;US
Marílson Gomes dos Santos;BR
Nobuyuki Sato;JP
Toshihiko Seko;JP
Morio Shigematsu;JP
Frank Shorter;US
Silvio Guerra;EC
Germán Silva;MX
Fauja Singh;GB
Shigeru So;JP
Takeshi So;JP
Sohn Kee-chung;JP
Albin Stenroos;FR
Toshinari Takaoka;JP
Hiromi Taniguchi;JP
Josia Thugwane;ZA
Tesfaye Tola;ET
Erick Wainaina;KE
Samuel Wanjiru;KE
Mamo Wolde;ET
Dimitrion Yordanidis;GR
Emil Zátopek;CZ
Tomoe Abe;JP
Yukiko Akaba;JP
Elfenesh Alemu;ET
Yuko Arimori;JP
Junko Asari;JP
Joan Benoit;US
Carla Beurskens;NL
Joyce Chepchumba;KE
Masako Chiba;JP
Zhou Chunxiu;CN
Adriana Fernández;MX
Franca Fiacconi;IT
Katrin Dörre-Heinig;DE
Kayoko Fukushi;JP
Jacqueline Gareau;CA
Tiki Gelana;ET
Bobbi Gibb;US
Kara Goucher;US
Lidiya Grigoryeva;RU
Ari Ichihashi;JP
;
Priscah Jeptoo;KE
Olivera Jevti?;RS
Deena Kastor;US
Mary Keitany;KE
Edna Kiplagat;KE
Lornah Kiplagat;KE
Renata Kokowska;PL
Salina Kosgei;KE
Ingrid Kristiansen;NO
Véronique Marot;GB
Lisa Martin;AU
Catherina McKiernan;IE
Irina Mikitenko;DE
Lorraine Moller;NZ
Rosa Mota;PT
Catherine Ndereba;KE
Mizuki Noguchi;JP
Yoshimi Ozaki;JP
Tatyana Petrova Arkhipova;RU
Uta Pippig;DE
Je?ena Prokop?uka;LV
Paula Radcliffe;GB
Fatuma Roba;ET
Allison Roe;NZ
Yoko Shibui;JP
Liliya Shobukhova;RU
Lidia Simon;RO
Hiromi Suzuki;JP
Kathrine Switzer;US
Naoko Takahashi;JP
Reiko Tosa;JP
Grete Waitz;NO
Gete Wami;ET
Sachiko Yamashita;JP
Valentina Yegorova;RU
