David Aardsma;US
Hank Aaron;US
Tommie Aaron;US
Don Aase;US
Andy Abad;US
Fernando Abad;US
John Abadie;US
Ed Abbaticchio;US
Bert Abbey;US
Charlie Abbey;US
Dan Abbott;US
Fred Abbott;US
Glenn Abbott;US
Jeff Abbott;US
Jim Abbott;US
Kurt Abbott;US
Kyle Abbott;US
Ody Abbott;US
Paul Abbott;US
Al Aber;US
Frank Abercrombie;US
Reggie Abercrombie;US
Bill Abernathie;US
Brent Abernathy;US
Tal Abernathy;US
Ted Abernathy;US
Woody Abernathy;US
Cliff Aberson;US
Harry Ables;US
Shawn Abner;US
Cal Abrams;US
George Abrams;US
Johnny Abrego;US
Bobby Abreu;US
Joe Abreu;US
Juan Abreu;US
Tony Abreu;US
Winston Abreu;US
Bill Abstein;US
Jeremy Accardo;US
José Acevedo;US
Juan Acevedo;US
Alfredo Aceves;US
Jim Acker;US
Tom Acker;US
Dustin Ackley;US
Fritz Ackley;US
Cy Acosta;US
Ed Acosta;US
José Acosta;US
Manny Acosta;US
Merito Acosta;US
Mark Acre;US
Jerry Adair;US
Jimmy Adair;US
Ace Adams;US
Babe Adams;US
Bert Adams;US
Bob Adams;US
Bob Adams;US
Bob Adams;US
Bobby Adams;US
Buster Adams;US
Dan Adams;US
Dick Adams;US
Doug Adams;US
George Adams;US
Glenn Adams;US
Herb Adams;US
Jim Adams;US
Joe Adams;US
Karl Adams;US
Mike Adams;US
Mike Adams;US
Red Adams;US
Rick Adams;US
Ricky Adams;US
Russ Adams;US
Ryan Adams;US
Sparky Adams;US
Spencer Adams;US
Terry Adams;US
Willie Adams;US
Willie Adams;US
Joel Adamson;US
Mike Adamson;US
Joe Adcock;US
Nathan Adcock;US
Bob Addis;US
Jim Adduci;US
Bob Addy;US
Nick Adenhart;US
Morrie Aderholt;US
Dewey Adkins;US
Dick Adkins;US
Doc Adkins;US
Grady Adkins;US
Jon Adkins;US
Steve Adkins;US
Henry Adkinson;US
Dave Adlesh;US
Troy Afenir;US
Jeremy Affeldt;US
Benny Agbayani;US
Tommie Agee;US
Harry Agganis;US
Joe Agler;US
Sam Agnew;US
Juan Agosto;US
Luis Aguayo;US
Chris Aguila;US
Rick Aguilera;US
Hank Aguirre;US
Bill Ahearn;US
Pat Ahearne;US
Willie Aikens;US
Danny Ainge;US
Eddie Ainsmith;US
Kurt Ainsworth;US
Raleigh Aitchison;US
George Aiton;US
John Ake;US
Jack Aker;US
Darrel Akerfelds;US
Bill Akers;US
Jerry Akers;US
Gibson Alba;US
Jonathan Albaladejo;US
Joe Albanese;US
José Alberro;US
Matt Albers;US
Butch Alberts;US
Cy Alberts;US
Gus Alberts;US
Ed Albosta;US
Ed Albrecht;US
Jack Albright;US
Al Alburquerque;US
Vic Albury;US
Santo Alcala;US
Izzy Alcántara;US
Luis Alcaraz;US
Scotty Alcock;US
Dale Alderson;US
Scott Aldred;US
Mike Aldrete;US
Jay Aldrich;US
Cory Aldridge;US
Vic Aldridge;US
Chuck Aleno;US
Bob Alexander;US
Dale Alexander;US
Doyle Alexander;US
Gary Alexander;US
Gerald Alexander;US
Grover Cleveland Alexander;US
Hugh Alexander;US
Manny Alexander;US
Matt Alexander;US
Nin Alexander;US
Walt Alexander;US
Jason Alfaro;US
Antonio Alfonseca;US
Edgardo Alfonzo;US
Eliézer Alfonzo;US
Luis Alicea;US
Andy Allanson;US
Brian Allard;US
Bernie Allen;US
Bob Allen;US
Bob Allen;US
Bob Allen;US
Bob Allen;US
Brandon Allen;US
Chad Allen;US
Dick Allen;US
Dusty Allen;US
Ethan Allen;US
Frank Allen;US
Ham Allen;US
Hank Allen;US
Hezekiah Allen;US
Horace Allen;US
Jack Allen;US
Jamie Allen;US
John Allen;US
Johnny Allen;US
Kim Allen;US
Lloyd Allen;US
Luke Allen;US
Myron Allen;US
Neil Allen;US
Nick Allen;US
Pete Allen;US
Rod Allen;US
Ron Allen;US
Sled Allen;US
Gary Allenson;US
Jermaine Allensworth;US
Gene Alley;US
Gair Allie;US
Bob Allietta;US
Andy Allison;US
Art Allison;US
Bill Allison;US
Bob Allison;US
Dana Allison;US
Doug Allison;US
Mack Allison;US
Milo Allison;US
Beau Allred;US
Mel Almada;US
Armando Almanza;US
Carlos Almanzar;US
Rafael Almeida;US
Bill Almon;US
Edwin Almonte;US
Erick Almonte;US
Héctor Almonte;US
Luis Aloma;US
Roberto Alomar;US
Sandy Alomar;US
Sandy Alomar;US
Yonder Alonso;US
Felipe Alou;US
Jesús Alou;US
Matty Alou;US
Moisés Alou;US
Whitey Alperman;US
Dell Alston;US
Garvin Alston;US
Tom Alston;US
Walter Alston;US
Porfi Altamirano;US
Ernie Alten;US
Jesse Altenburg;US
Dave Altizer;US
George Altman;US
Joe Altobelli;US
Nick Altrock;US
José Altuve;US
George Alusik;US
Luis Alvarado;US
Abe Alvarez;US
Clemente Álvarez;US
Gabe Alvarez;US
Henderson Alvarez;US
Jose Alvarez;US
Juan Alvarez;US
Orlando Álvarez;US
Ossie Álvarez;US
Pedro Alvarez;US
Rogelio Álvarez;US
Tavo Álvarez;US
Tony Álvarez;US
Víctor Álvarez;US
Wilson Álvarez;US
Max Alvis;US
Billy Alvord;US
Brant Alyea;US
Joey Amalfitano;US
Rich Amaral;US
Alexi Amarista;US
Rubén Amaro Sr.;US
Rubén Amaro Jr.;US
Wayne Ambler;US
Chip Ambres;US
Héctor Ambriz;US
Ed Amelung;US
Red Ames;US
Alfredo Amézaga;US
Doc Amole;US
Vicente Amor;US
Sandy Amorós;US
Walter Ancker;US
Larry Andersen;US
Alf Anderson;US
Allan Anderson;US
Andy Anderson;US
Bill Anderson;US
Bill Anderson;US
Bob Anderson;US
Brady Anderson;US
Brett Anderson;US
Brian Anderson;US
Brian Anderson;US
